Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
80,7/17/2020 3:37,exoSC,1BillionViews,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,37.438,14.9858,34.7744,0,8.53032,270,17.2969,270,31.9981,15,8,0.4,0.2,10,5,0.8
81,7/17/2020 3:38,exoSC,1BillionViews,CountryTrack,1,0,Normal,Classic,Classic,Classic,1,31.4177,18.003,7.30525,0,3.32543,270,14.8327,270,27.0162,18,21.97,21.97,0,9,10,0.84
82,7/17/2020 3:41,exoSC,1BillionViews,MountainTrack,1,1,Icy,Classic,Classic,Classic,0,31.4177,21.4815,23.8969,990,15.8273,1080,74.1034,990,27.0162,15,10.6,10.6,0.1,5,9,0.86
83,7/17/2020 3:43,exoSC,1BillionViews,MountainTrack,1,1,Icy,Classic,Classic,Classic,1,75.2287,15.1083,38.8755,990,18.2006,1080,33.6238,990,61.4688,13,4.14,4.14,0,5,9,0.83
84,7/17/2020 3:44,exoSC,1BillionViews,MountainTrack,0,1,Icy,Classic,Roadster,Classic,1,72.3929,18.7791,45.1815,990,15.5428,1080,28.1466,990,59.811,18,5,0.6,0.2,5,10,0.8
85,7/17/2020 4:13,kim,jongdae,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,51.5257,14.9858,48.4938,0,13.1315,270,24.1744,270,45.9932,15,8,0.4,0.2,10,5,0.8
86,7/17/2020 4:15,kim,jongdae,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,92.6832,16.5539,43.2369,360,22.6938,1440,65.9738,720,85.9367,15,8,0.4,0.2,10,5,0.8
87,7/17/2020 4:18,kim,jongdae,WindingTrack,0,0,Sandy,Roadster,Classic,Classic,1,117.669,14.9867,36.001,1440,36.9371,1440,69.2572,1080,99.5978,15,8,0.4,0.7,20,2,0.8
88,7/17/2020 4:24,kim,jongdae,WindingTrack,1,0,Sandy,Classic,Classic,Classic,0,117.669,9.99315,66.2882,1440,35.2192,1440,79.3486,1080,109.854,10,2.2,2.2,0,10,2,0
89,7/17/2020 6:35,exoSC,1BillionViews,BumpyTrack,0,0,Normal,Classic,Classic,Classic,0,0,15.2926,74.1852,360,52.2369,1440,99.7275,720,0,15,8,0.4,0.2,10,5,0.8
90,7/17/2020 6:37,exoSC,1BillionViews,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,40.6885,14.9859,18.4109,0,4.82039,270,14.218,270,33.9705,15,8,0.4,0.2,10,5,0.8
91,7/17/2020 6:49,exoSC,1BillionViews,BumpyTrack,0,0,Normal,Classic,4x4,Muscle,1,78.1066,21.1633,34.6736,360,11.9374,1440,52.5175,720,72.846,21,11,0.8,0.2,15,5,0.8
92,7/17/2020 7:02,RK,RK,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,71.3711,15.0448,68.7543,360,15.885,1440,42.5429,720,66.4204,15,8,0.4,0.2,10,5,0.8
93,7/17/2020 7:02,sechan,kaibaek,BumpyTrack,0,0,Normal,Classic,Classic,4x4,1,77.8115,17.0381,35.5858,360,17.1968,1440,53.4297,720,72.5608,15,8,0.4,0.2,40,5,0.8
94,7/17/2020 7:04,RK,RK,MountainTrack,0,1,Icy,Classic,4x4,Classic,1,86.0342,22.7794,40.815,990,34.08,1080,46.07,990,76.8641,21,11,0.8,0.2,5,10,0.8
95,7/17/2020 7:05,RK,RK,MountainTrack,0,1,Icy,Classic,4x4,Classic,1,63.7569,20.9835,41.749,990,15.973,1080,28.128,990,55.9129,21,11,0.8,0.2,5,10,0.8
96,7/17/2020 7:08,RK,RK,WindingTrack,0,0,Sandy,Classic,4x4,Roadster,1,60.7379,20.9793,49.2639,1440,17.04,1440,34.862,1080,48.7019,21,11,0.8,0.2,30,5,0.9
97,7/17/2020 7:23,pri,rbs,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.584,14.9858,25.1068,0,5.38527,270,13.3743,270,28.0908,15,8,0.4,0.2,10,5,0.8
98,7/17/2020 7:24,pri,rbs,BumpyTrack,0,0,Normal,Classic,Roadster,Roadster,1,64.6596,18.9774,27.2384,360,12.4774,1440,42.8992,720,60.3607,18,5,0.6,0.2,20,5,0.8
99,7/17/2020 7:26,pri,rbs,WindingTrack,0,0,Sandy,Classic,Roadster,Roadster,1,82.464,17.9904,15.7001,1440,18.83,1440,39.844,1080,68.0404,18,5,0.6,0.2,30,5,0.9
100,7/17/2020 7:29,pri,rbs,MountainTrack,0,1,Icy,Classic,Roadster,Roadster,1,67.4444,20.6476,27.7077,990,13.8976,1080,24.1116,990,49.3394,18,5,0.6,0.2,15,10,0.8
101,7/17/2020 7:30,pri,rbs,CountryTrack,1,0,Normal,Classic,Classic,Classic,1,32.3885,14.9859,9.52389,0,4.01626,270,11.923,270,26.8866,15,4.4,4.4,0.09,8,9,0.86
102,7/17/2020 7:32,sdf,sdfd,WindingTrack,1,0,Sandy,Classic,Classic,Classic,1,58.2793,21.979,24.2911,1440,15.6094,1440,34.0951,1080,46.9047,22,22.98,22.98,0,12,5,0.53
103,7/17/2020 11:53,kim,jongdaeswife,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,105.996,15.34,46.7475,360,19.7849,1440,71.3458,720,97.581,15,8,0.4,0.2,10,5,0.8
104,7/17/2020 12:03,kim,jongdaeswife,BumpyTrack,0,0,Normal,Classic,Classic,4x4,1,88.546,16.6807,38.0643,360,18.3059,1440,62.7231,720,83.1292,15,8,0.4,0.2,40,5,0.8
105,7/17/2020 12:05,kim,jongdaeswife,BumpyTrack,0,0,Normal,Classic,Classic,Muscle,1,77.4315,16.0088,33.8142,360,16.5055,1440,50.6265,720,71.116,15,8,0.4,0.2,15,5,0.8
106,7/17/2020 12:06,kim,jongdaeswife,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,91.0459,16.7778,43.1804,360,18.7101,1440,64.1089,720,85.7649,15,8,0.4,0.2,10,5,0.8
107,7/17/2020 12:51,RK,RK,WindingTrack,0,0,Sandy,Muscle,4x4,Classic,1,61.0678,20.987,24.648,1440,17.048,1440,35.3929,1080,49.2649,21,11,0.8,0.5,20,5,0.6
108,7/17/2020 12:52,RK,RK,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,8.518,24.9765,5.517,0,6.951,0,4.85,0,1.315,25,19.64,19.64,0.48,12,9,0.78
109,7/17/2020 12:53,RK,RK,CountryTrack,1,0,Normal,Classic,Classic,Classic,1,24.6931,18.9823,0.252,0,3.001,270,9.288,270,20.5581,19,14.49,14.49,0.37,10,7,0.6
110,7/17/2020 12:55,RK,RK,MountainTrack,1,1,Icy,Classic,Classic,Classic,1,85.2161,19.5452,47.573,990,20.012,1080,43.313,990,68.357,17,22.34,22.34,0.61,2,13,0.67
111,7/17/2020 15:00,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.2487,14.9858,23.5749,0,5.45192,270,13.3353,270,27.6302,15,8,0.4,0.2,10,5,0.8
112,7/17/2020 15:01,Reina,yo,BumpyTrack,0,0,Normal,Muscle,Roadster,Roadster,1,60.3003,19.33,26.7033,360,11.1992,1440,39.9601,720,55.9807,18,5,0.6,0.5,20,5,0.5
113,7/17/2020 15:03,Reina,yo,WindingTrack,0,0,Sandy,Muscle,4x4,Muscle,1,64.376,20.987,57.0186,1440,19.1979,1440,37.4961,1080,52.3753,21,11,0.8,0.5,25,5,0.6
114,7/17/2020 15:05,Reina,yo,MountainTrack,0,1,Icy,4x4,Roadster,4x4,1,72.3667,20.385,23.8901,990,16.1495,1080,29.1495,990,62.2699,18,5,0.6,1,35,11,0.9
115,7/18/2020 10:52,7,0,BumpyTrack,0,0,Normal,Muscle,4x4,4x4,0,51.0918,21.2405,26.5718,360,13.3442,1440,0,720,0,21,11,0.8,0.5,40,5,0.5
116,7/18/2020 10:54,7,0,BumpyTrack,0,0,Normal,Muscle,4x4,4x4,1,81.8508,21.0725,42.5849,360,25.7545,1440,60.5496,720,77.3469,21,11,0.8,0.5,40,5,0.5
117,7/18/2020 10:56,7,0,WindingTrack,0,0,Sandy,Classic,4x4,Muscle,1,65.9039,20.9898,3.26933,1440,17.4977,1440,38.0478,1080,52.3595,21,11,0.8,0.2,25,5,0.9
118,7/18/2020 10:58,pop,exoisjongdae,BumpyTrack,0,0,Normal,Classic,Classic,Classic,0,0,15.2368,90.4206,360,50.6707,1440,110.029,720,0,15,8,0.4,0.2,10,5,0.8
119,7/18/2020 11:03,7,7,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,101.884,16.3136,36.63,990,28.2065,1080,45.4872,990,85.4368,15,8,0.4,0.2,5,10,0.8
120,7/18/2020 11:06,7,7,BumpyTrack,0,0,Normal,4x4,4x4,4x4,0,65.6704,21.3522,28.5568,360,13.7112,1440,45.4872,720,60.9165,21,11,0.8,1,40,6,0.9
121,7/18/2020 11:07,priy,damg,MountainTrack,0,1,Icy,Classic,Classic,4x4,1,103.38,16.6472,72.2554,990,31.943,1080,48.2554,990,92.4144,15,8,0.4,0.2,35,10,0.8
122,7/18/2020 11:21,priy,damg,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,118.681,13.5631,55.6105,360,20.4245,1440,77.8079,720,108.429,10,8.76,8.76,0,6,5,0.68
123,7/18/2020 11:26,priy,damg,CountryTrack,1,0,Normal,Classic,Classic,Classic,1,47.6254,10.991,26.1152,0,5.1861,270,16.4655,270,38.7828,11,5.57,5.57,0,5,6,0.74
124,7/18/2020 11:30,priy,damg,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,112.318,13.6384,44.2948,360,19.804,1440,74.2637,720,104.321,10,3.87,3.87,0,5,5,0.61
125,7/18/2020 11:35,test,test1,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,34.5844,14.9858,25.9509,0,5.40026,270,13.867,270,29.1842,15,8,0.4,0.2,10,5,0.8
126,7/18/2020 11:37,test,test1,BumpyTrack,0,0,Normal,4x4,Classic,Muscle,1,78.3019,15.5755,35.7343,360,13.934,1440,53.2846,720,73.2519,15,8,0.4,1,15,6,0.9
